"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-61.98,44.2,3.0493e-10,0,4.4752,0.0082042,545.48,0.26437,0,-0,0,2.833e-08,-0,-0,0,2.833e-08,2.3959e-06,0,-0,-0,0,1,0.15,-1.35,0.0127,0.025
-61.98,44.2,7.2237e-10,0,4.4029,0.0081903,537.57,0.24937,0,-0,0,6.9875e-08,-0,-0,0,6.9875e-08,5.2136e-06,0,-0,-0,0,1,0.165,-1.335,0.0127,0.025
-61.98,44.2,1.661e-09,0,4.3327,0.0081749,530,0.23437,0,-0,0,1.2606e-07,-0,-0,0,1.2606e-07,1.0837e-05,0,-0,-0,0,1,0.18,-1.32,0.0127,0.025
-61.98,44.2,3.9904e-09,0,4.2646,0.0081576,522.77,0.21937,0,-0,0,3.2275e-07,-0.0002861,-0,0,3.2275e-07,2.3714e-05,0,-0,-0,0,1,0.195,-1.305,0.0127,0.025
-61.98,44.2,8.7366e-09,0,4.1985,0.008138,515.91,0.20437,0,-0,0,5.5813e-07,-0,-0,0,5.5813e-07,4.8998e-05,0,-0,-0,0,1,0.21,-1.29,0.0127,0.025
-61.98,44.2,2.1499e-08,0,4.1343,0.0081157,509.41,0.18937,0,-0,0,1.4982e-06,-0,-0,0,1.4982e-06,0.00010799,0,-0,-0,0,1,0.225,-1.275,0.0127,0.025
-61.98,44.2,4.4752e-08,0,4.0719,0.0080906,503.29,0.17437,0,-0,0,2.4569e-06,-0.00057221,-0,0,2.4569e-06,0.00022152,0,-0,-0,0,1,0.24,-1.26,0.0127,0.025
-61.979,44.2,1.1822e-07,0,4.0115,0.0080622,497.57,0.15937,0,-0,0,1.0759e-05,-0.0022888,-0,0,1.0759e-05,0.0010029,0,-0,-0,0,1,0.255,-1.245,0.0127,0.025
-61.978,44.2,2.7397e-07,0,3.9529,0.0080307,492.21,0.14437,0,-0,0,3.3167e-05,-0.002861,-0,0,3.3167e-05,0.0022629,0,-0,-0,0,1,0.27,-1.23,0.0127,0.025
-61.976,44.2,6.4837e-07,0,3.896,0.0079964,487.2,0.12937,0,-0,0,4.716e-05,-0.0094414,-0,0,4.716e-05,0.0045691,0,-0,-0,0,1,0.285,-1.215,0.0127,0.025
