"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.75722e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.28689e+00,0.00000e+00,4.39287e+05,1.00000e-15,2.94879e+00,-0.00000e+00,0.00000e+00,-1.00933e+05,1.24538e+00,5.04667e+04,0.00000e+00,5.04667e+04,-2.27686e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.65000e-01,3.65000e-01,0.00000e+00,2.50000e-02
3.63155e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.29262e+00,0.00000e+00,4.39332e+05,1.00000e-15,2.95249e+00,-0.00000e+00,0.00000e+00,-1.00933e+05,1.24538e+00,5.04667e+04,0.00000e+00,5.04667e+04,-2.27686e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.70000e-01,3.70000e-01,0.00000e+00,2.50000e-02
3.50589e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.29836e+00,0.00000e+00,4.39377e+05,1.00000e-15,2.95618e+00,-0.00000e+00,0.00000e+00,-1.00933e+05,1.24538e+00,5.04667e+04,0.00000e+00,5.04667e+04,-2.27686e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.75000e-01,3.75000e-01,0.00000e+00,2.50000e-02
3.38208e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.30391e+00,0.00000e+00,4.39421e+05,1.00000e-15,2.95975e+00,-0.00000e+00,0.00000e+00,-1.01335e+05,1.17050e+00,5.06675e+04,0.00000e+00,5.06675e+04,-2.14891e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.80000e-01,3.80000e-01,0.00000e+00,2.50000e-02
3.25959e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.30934e+00,0.00000e+00,4.39464e+05,1.00000e-15,2.96323e+00,-0.00000e+00,0.00000e+00,-1.01335e+05,1.17050e+00,5.06675e+04,0.00000e+00,5.06675e+04,-2.14891e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.85000e-01,3.85000e-01,0.00000e+00,2.50000e-02
3.13710e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.31477e+00,0.00000e+00,4.39507e+05,1.00000e-15,2.96671e+00,-0.00000e+00,0.00000e+00,-1.01335e+05,1.17050e+00,5.06675e+04,0.00000e+00,5.06675e+04,-2.14891e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.90000e-01,3.90000e-01,0.00000e+00,2.50000e-02
3.01460e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.32020e+00,0.00000e+00,4.39550e+05,1.00000e-15,2.97019e+00,-0.00000e+00,0.00000e+00,-1.01335e+05,1.17050e+00,5.06675e+04,0.00000e+00,5.06675e+04,-2.14891e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.95000e-01,3.95000e-01,0.00000e+00,2.50000e-02
2.88994e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.32530e+00,0.00000e+00,4.39590e+05,1.00000e-15,2.97345e+00,-0.00000e+00,0.00000e+00,-1.01728e+05,1.08694e+00,5.08641e+04,0.00000e+00,5.08641e+04,-2.02076e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.00000e-01,4.00000e-01,0.00000e+00,2.50000e-02
2.76516e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.33038e+00,0.00000e+00,4.39631e+05,1.00000e-15,2.97670e+00,-0.00000e+00,0.00000e+00,-1.01728e+05,1.08694e+00,5.08641e+04,0.00000e+00,5.08641e+04,-2.02076e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.05000e-01,4.05000e-01,0.00000e+00,2.50000e-02
2.64038e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.33546e+00,0.00000e+00,4.39671e+05,1.00000e-15,2.97994e+00,-0.00000e+00,0.00000e+00,-1.01728e+05,1.08694e+00,5.08641e+04,0.00000e+00,5.08641e+04,-2.02076e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.10000e-01,4.10000e-01,0.00000e+00,2.50000e-02
2.51657e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.34050e+00,0.00000e+00,4.39711e+05,1.00000e-15,2.98316e+00,-0.00000e+00,0.00000e+00,-1.02115e+05,1.03158e+00,5.10574e+04,0.00000e+00,5.10574e+04,-1.88449e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.15000e-01,4.15000e-01,0.00000e+00,2.50000e-02
2.39858e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.34534e+00,0.00000e+00,4.39749e+05,1.00000e-15,2.98624e+00,-0.00000e+00,0.00000e+00,-1.02115e+05,1.03158e+00,5.10574e+04,0.00000e+00,5.10574e+04,-1.88449e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.20000e-01,4.20000e-01,0.00000e+00,2.50000e-02
2.28059e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.35018e+00,0.00000e+00,4.39787e+05,1.00000e-15,2.98932e+00,-0.00000e+00,0.00000e+00,-1.02115e+05,1.03158e+00,5.10574e+04,0.00000e+00,5.10574e+04,-1.88449e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.25000e-01,4.25000e-01,0.00000e+00,2.50000e-02
2.16260e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.35501e+00,0.00000e+00,4.39825e+05,1.00000e-15,2.99239e+00,-0.00000e+00,0.00000e+00,-1.02115e+05,1.03158e+00,5.10574e+04,0.00000e+00,5.10574e+04,-1.88449e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.30000e-01,4.30000e-01,0.00000e+00,2.50000e-02
2.04164e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.35976e+00,0.00000e+00,4.39863e+05,1.00000e-15,2.99541e+00,-0.00000e+00,0.00000e+00,-1.02481e+05,8.85459e-01,5.12404e+04,0.00000e+00,5.12404e+04,-1.75500e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.35000e-01,4.35000e-01,0.00000e+00,2.50000e-02
1.90398e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.36399e+00,0.00000e+00,4.39896e+05,1.00000e-15,2.99809e+00,-0.00000e+00,0.00000e+00,-1.02481e+05,8.85459e-01,5.12404e+04,0.00000e+00,5.12404e+04,-1.75500e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.40000e-01,4.40000e-01,0.00000e+00,2.50000e-02
1.76632e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.36822e+00,0.00000e+00,4.39930e+05,1.00000e-15,3.00077e+00,-0.00000e+00,0.00000e+00,-1.02481e+05,8.85459e-01,5.12404e+04,0.00000e+00,5.12404e+04,-1.75500e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.45000e-01,4.45000e-01,0.00000e+00,2.50000e-02
1.62865e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.37245e+00,0.00000e+00,4.39963e+05,1.00000e-15,3.00345e+00,-0.00000e+00,0.00000e+00,-1.02481e+05,8.85459e-01,5.12404e+04,0.00000e+00,5.12404e+04,-1.75500e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.50000e-01,4.50000e-01,0.00000e+00,2.50000e-02
