"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-61.054,44.2,5.085e-09,0,12.129,0.0077629,1562.4,0,-0,0,3.5215e-07,-0,-0,0,3.5215e-07,3.0599e-05,0,-0,-0,0,1,0.195,-1.305,0.0127,0.025
-61.054,44.2,1.0243e-08,0,11.596,0.007729,1500.2,0,-0,0,6.058e-07,-0,-0,0,6.058e-07,5.8088e-05,0,-0,-0,0,1,0.21,-1.29,0.0127,0.025
-61.054,44.2,2.3367e-08,0,11.104,0.007693,1443.3,0,-0,0,1.5314e-06,-0,-0,0,1.5314e-06,0.0001194,0,-0,-0,0,1,0.225,-1.275,0.0127,0.025
-61.054,44.2,4.7545e-08,0,10.65,0.007654,1391.4,0,-0,0,2.5578e-06,-0.00057221,-0,0,2.5578e-06,0.00023676,0,-0,-0,0,1,0.24,-1.26,0.0127,0.025
-61.054,44.2,1.2152e-07,0,10.232,0.0076104,1344.5,0,-0,0,1.1067e-05,-0.0022888,-0,0,1.1067e-05,0.0010309,0,-0,-0,0,1,0.255,-1.245,0.0127,0.025
-61.053,44.2,2.7957e-07,0,9.8447,0.0075619,1301.8,0,-0,0,-0.012033,-0.0032902,0.012066,0,3.3135e-05,0.0022988,0,-0,-0,0,1,0.27,-1.23,0.0127,0.025
-61.051,44.2,6.5756e-07,0,9.4837,0.0075078,1263.1,0,-0,0,-0.012018,-0.0092983,0.012066,0,4.8312e-05,0.0046371,0,-0,-0,0,1,0.285,-1.215,0.0127,0.025
-61.045,44.2,1.6346e-06,0,9.1472,0.0074477,1228.1,0,-0,0,0.00016168,-0.013733,-0,0,0.00016168,0.01066,0,-0,-0,0,1,0.3,-1.2,0.0127,0.025
-61.036,44.199,3.5371e-06,0,8.833,0.0073816,1196.5,0,-0,0,0.0002168,-0.045776,-0,0,0.0002168,0.021528,0,-0,-0,0,1,0.315,-1.185,0.0127,0.025
-60.998,44.198,9.9543e-06,0,8.5393,0.0073099,1168.1,0,-0,0,0.00086375,-0.061798,-0,0,0.00086375,0.052516,0,-0,-0,0,1,0.33,-1.17,0.0127,0.025
-60.965,44.195,2.0334e-05,0,8.2645,0.007233,1142.5,0,-0,0,0.0011027,-0.23861,-0,0,0.0011027,0.10899,0,-0,-0,0,1,0.345,-1.155,0.0127,0.025
-60.7,44.191,8.3939e-05,0,8.007,0.0071521,1119.5,0,-0,0,0.0070819,-0.30499,-0,0,0.0070819,0.34334,0,-0,-0,0,1,0.36,-1.14,0.0127,0.025
-60.198,44.162,0.0016771,0,7.769,0.006904,1113.5,0,-0,0,0.40904,-2.4761,0.80844,0,1.2175,27.602,0,-0,-0,0,1,0.375,-1.125,0.0127,0.025
-58.188,33.1,0.0091631,0,9.3246,0.0042693,72862,2.7451,-0,0,-1.2629e+05,-1812.8,1.2629e+05,0,0.8542,203.43,0,-0,-0,0,1,0.39,-1.11,0.0127,0.025
-61.466,0,0,0,14.294,0,2.8682e+05,10.909,-0,0,-2.3185e+05,-114.01,2.3185e+05,0,-0.12134,330.7,0,-0,-0,0,1,0.405,-1.095,0.0127,0.025
-63.428,-3.8479e-13,-5.5391e-16,0,13.75,-9.0655e-18,2.8376e+05,10.694,-0,0,-2.3185e+05,-114.01,2.3185e+05,0,-0.12134,330.7,0,-0,-0,0,1,0.42,-1.08,0.0127,0.025
-65.695,0,0,0,13.073,0,2.7992e+05,10.424,-0,0,-1.9985e+05,-63.552,1.9985e+05,0,-0.51198,217.84,0,-0,-0,0,1,0.435,-1.065,0.0127,0.025
-68.391,-3.337e-13,-2.9404e-16,0,12.209,-7.5621e-19,2.75e+05,10.076,-0,0,-1.9985e+05,-63.552,1.9985e+05,0,-0.51198,217.84,0,-0,-0,0,1,0.45,-1.05,0.0127,0.025
-70.454,0,0,0,11.554,0,2.7123e+05,9.8062,-0,0,-1.826e+05,-34.548,1.826e+05,0,-0.17924,96.049,0,-0,-0,0,1,0.465,-1.035,0.0127,0.025
-71.995,0,0,0,11.073,0,2.6841e+05,9.6014,-0,0,-1.826e+05,-34.548,1.826e+05,0,-0.17924,96.049,0,-0,-0,0,1,0.48,-1.02,0.0127,0.025
-73.593,0,0,0,10.73,0,2.6638e+05,9.4521,-0,0,-1.7302e+05,-21.425,1.7302e+05,0,-0.071905,52.926,0,-0,-0,0,1,0.495,-1.005,0.0127,0.025
-75.213,0,0,0,10.439,0,2.6465e+05,9.3239,-0,0,-1.7302e+05,-21.425,1.7302e+05,0,-0.071905,52.926,0,-0,-0,0,1,0.51,-0.99,0.0127,0.025
-76.745,0,0,0,10.218,0,2.6332e+05,9.2243,-0,0,-1.6687e+05,-15.394,1.6687e+05,0,-0.032854,35.398,0,-0,-0,0,1,0.525,-0.975,0.0127,0.025
-78.266,0,0,0,10.008,0,2.6205e+05,9.1297,-0,0,-1.624e+05,-12.064,1.624e+05,0,-0.018673,27.001,0,-0,-0,0,1,0.54,-0.96,0.0127,0.025
-79.764,0,0,0,9.8305,0,2.6097e+05,9.0482,-0,0,-1.624e+05,-12.064,1.624e+05,0,-0.018673,27.001,0,-0,-0,0,1,0.555,-0.945,0.0127,0.025
-81.244,0,0,0,9.6672,0,2.5998e+05,8.9728,-0,0,-1.5892e+05,-9.911,1.5892e+05,0,-0.012726,22.016,0,-0,-0,0,1,0.57,-0.93,0.0127,0.025
-82.707,2.7382e-13,3.5307e-17,0,9.517,8.0996e-19,2.5906e+05,8.903,-0,0,-1.5892e+05,-9.911,1.5892e+05,0,-0.012726,22.016,0,-0,-0,0,1,0.585,-0.915,0.0127,0.025
-84.143,0,0,0,9.3854,0,2.5825e+05,8.8411,-0,0,-1.5609e+05,-8.3814,1.5609e+05,0,-0.0094668,18.583,0,-0,-0,0,1,0.6,-0.9,0.0127,0.025
-85.568,0,0,0,9.2607,0,2.5749e+05,8.7823,-0,0,-1.5374e+05,-7.248,1.5374e+05,0,-0.0073813,16.042,0,-0,-0,0,1,0.615,-0.885,0.0127,0.025
-86.973,0,0,0,9.1478,0,2.5679e+05,8.7286,-0,0,-1.5374e+05,-7.248,1.5374e+05,0,-0.0073813,16.042,0,-0,-0,0,1,0.63,-0.87,0.0127,0.025
-88.362,0,0,0,9.0442,0,2.5615e+05,8.679,-0,0,-1.5174e+05,-6.367,1.5174e+05,0,-0.0059432,14.083,0,-0,-0,0,1,0.645,-0.855,0.0127,0.025
-89.74,0,0,0,8.9461,0,2.5554e+05,8.6319,-0,0,-1.5001e+05,-5.6719,1.5001e+05,0,-0.0048549,12.535,0,-0,-0,0,1,0.66,-0.84,0.0127,0.025
